match_id,date,team_1,team_2,elo_team_1,elo_team_2,elo_diff
211048,2005-02-17,New Zealand,Australia,1500.0,1500.0,0.0
211028,2005-06-13,England,Australia,1500.0,1510.0,-10.0
222678,2005-10-21,South Africa,New Zealand,1500.0,1490.0,10.0
226374,2006-01-09,Australia,South Africa,1499.71225631668,1489.71225631668,10.0
238195,2006-02-24,South Africa,Australia,1480.0,1509.4245126333599,-29.424512633359882
225271,2006-06-15,England,Sri Lanka,1510.28774368332,1500.0,10.287743683320059
225263,2006-08-28,England,Pakistan,1499.9917251272818,1500.0,-0.008274872718175175
255954,2006-12-01,South Africa,India,1490.8448865370851,1500.0,-9.15511346291487
251487,2006-12-22,New Zealand,Sri Lanka,1500.28774368332,1510.2960185560382,-10.008274872718175
251488,2006-12-26,New Zealand,Sri Lanka,1490.5757253392628,1520.0080369000955,-29.43231156083266
249227,2007-01-09,Australia,England,1498.5796260962748,1489.991963297264,8.587662799010786
258463,2007-06-28,England,West Indies,1480.239085777627,1500.0,-19.760914222373003
258464,2007-06-29,England,West Indies,1470.8072380959682,1509.4318476816588,-38.62460958569068
306987,2007-09-01,Kenya,Bangladesh,1500.0,1500.0,0.0
306989,2007-09-02,Bangladesh,Pakistan,1510.0,1509.9997618300179,0.00023816998213987972
306991,2007-09-04,Kenya,Pakistan,1490.0,1519.999768685101,-29.99976868510089
287853,2007-09-11,South Africa,West Indies,1481.1083309129515,1498.32469934293,-17.216368429978502
287856,2007-09-12,Australia,Zimbabwe,1508.3325036159117,1500.0,8.332503615911719
287855,2007-09-12,Pakistan,Scotland,1529.1384454530416,1500.0,29.13844545304164
287854,2007-09-12,Kenya,New Zealand,1480.8613232320592,1501.420834744752,-20.55951151269278
287857,2007-09-13,Bangladesh,West Indies,1499.999993144917,1487.829577612388,12.170415532528978
287858,2007-09-13,England,Zimbabwe,1481.914386434697,1510.2397827618227,-28.325396327125645
287861,2007-09-14,Australia,England,1498.092720854089,1492.7278553909348,5.364865463154274
287860,2007-09-14,Kenya,Sri Lanka,1471.4523837996649,1509.1629274946063,-37.71054369494141
287863,2007-09-15,New Zealand,Sri Lanka,1510.8297741771464,1518.081773109626,-7.251998932479637
287864,2007-09-15,South Africa,Bangladesh,1491.6034526434935,1509.6498436329155,-18.04639098942198
287867,2007-09-16,South Africa,England,1502.1224029146183,1482.8822563601418,19.240146554476496
287865,2007-09-16,India,New Zealand,1509.7365556241336,1501.0384731773736,8.698082446760054
287866,2007-09-16,Australia,Bangladesh,1507.938319884882,1499.1308933617906,8.807426523091408
287868,2007-09-17,Pakistan,Sri Lanka,1538.3017343834367,1527.8730741093989,10.428660274037838
287870,2007-09-18,Australia,Pakistan,1517.6848760585701,1548.001663524827,-30.316787466256983
287869,2007-09-18,England,New Zealand,1473.4354669025945,1511.2887718247498,-37.8533049221553
287871,2007-09-18,Bangladesh,Sri Lanka,1489.3843371881026,1518.1731449680085,-28.788807779905937
287872,2007-09-19,South Africa,New Zealand,1511.5691923721656,1520.2035566518455,-8.634364279679858
287873,2007-09-19,England,India,1464.5206820754988,1499.4862569767574,-34.965574901258606
287876,2007-09-20,South Africa,India,1521.8176582038411,1508.483250767923,13.334407435918138
287874,2007-09-20,Australia,Sri Lanka,1508.5552554174917,1527.346427665432,-18.791172247940267
287875,2007-09-20,Bangladesh,Pakistan,1480.211054490679,1557.1312841659055,-76.92022967522644
287878,2007-09-22,Australia,India,1519.0955820750705,1518.8668575345089,0.22872454056164315
287877,2007-09-22,New Zealand,Pakistan,1509.95509082017,1564.9528190026058,-54.99772818243582
287879,2007-09-24,India,Pakistan,1528.8734407550266,1573.3829477323227,-44.50950697729604
297800,2007-10-20,India,Australia,1540.1475647254829,1509.0889988545528,31.058565870930124
