match_id,date,team_1,team_2,winner,result,venue,city,toss_winner,toss_decision,by_runs,by_wickets
211048,2005-02-17,New Zealand,Australia,Australia,,Eden Park,Auckland,Australia,bat,44.0,
211028,2005-06-13,England,Australia,England,,The Rose Bowl,Southampton,England,bat,100.0,
222678,2005-10-21,South Africa,New Zealand,New Zealand,,New Wanderers Stadium,Johannesburg,New Zealand,field,,5.0
226374,2006-01-09,Australia,South Africa,Australia,,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,bat,95.0,
238195,2006-02-24,South Africa,Australia,South Africa,,New Wanderers Stadium,Johannesburg,South Africa,bat,2.0,
225271,2006-06-15,England,Sri Lanka,Sri Lanka,,The Rose Bowl,Southampton,Sri Lanka,bat,2.0,
225263,2006-08-28,England,Pakistan,Pakistan,,County Ground,Bristol,England,bat,,5.0
255954,2006-12-01,South Africa,India,India,,New Wanderers Stadium,Johannesburg,South Africa,bat,,6.0
251487,2006-12-22,New Zealand,Sri Lanka,Sri Lanka,,Westpac Stadium,Wellington,New Zealand,bat,18.0,
251488,2006-12-26,New Zealand,Sri Lanka,New Zealand,,Eden Park,Auckland,New Zealand,field,,5.0
249227,2007-01-09,Australia,England,Australia,,Sydney Cricket Ground,,Australia,bat,77.0,
258463,2007-06-28,England,West Indies,West Indies,,Kennington Oval,London,West Indies,bat,15.0,
306987,2007-09-01,Kenya,Bangladesh,Bangladesh,,Gymkhana Club Ground,Nairobi,Bangladesh,field,,5.0
306989,2007-09-02,Bangladesh,Pakistan,Pakistan,,Gymkhana Club Ground,Nairobi,Bangladesh,field,30.0,
306991,2007-09-04,Kenya,Pakistan,Pakistan,,Gymkhana Club Ground,Nairobi,Kenya,bat,,8.0
287853,2007-09-11,South Africa,West Indies,South Africa,,New Wanderers Stadium,Johannesburg,South Africa,field,,8.0
287856,2007-09-12,Australia,Zimbabwe,Zimbabwe,,Newlands,Cape Town,Australia,bat,,5.0
287855,2007-09-12,Pakistan,Scotland,Pakistan,,Kingsmead,Durban,Scotland,field,51.0,
287854,2007-09-12,Kenya,New Zealand,New Zealand,,Kingsmead,Durban,New Zealand,field,,9.0
287857,2007-09-13,Bangladesh,West Indies,Bangladesh,,New Wanderers Stadium,Johannesburg,Bangladesh,field,,6.0
287858,2007-09-13,England,Zimbabwe,England,,Newlands,Cape Town,England,bat,50.0,
287861,2007-09-14,Australia,England,Australia,,Newlands,Cape Town,England,bat,,8.0
287860,2007-09-14,Kenya,Sri Lanka,Sri Lanka,,New Wanderers Stadium,Johannesburg,Kenya,field,172.0,
287863,2007-09-15,New Zealand,Sri Lanka,Sri Lanka,,New Wanderers Stadium,Johannesburg,New Zealand,bat,,7.0
287864,2007-09-15,South Africa,Bangladesh,South Africa,,Newlands,Cape Town,South Africa,field,,7.0
287865,2007-09-16,India,New Zealand,New Zealand,,New Wanderers Stadium,Johannesburg,India,field,10.0,
287866,2007-09-16,Australia,Bangladesh,Australia,,Newlands,Cape Town,Australia,field,,9.0
287867,2007-09-16,South Africa,England,South Africa,,Newlands,Cape Town,England,field,19.0,
287868,2007-09-17,Pakistan,Sri Lanka,Pakistan,,New Wanderers Stadium,Johannesburg,Sri Lanka,field,33.0,
287870,2007-09-18,Australia,Pakistan,Pakistan,,New Wanderers Stadium,Johannesburg,Pakistan,field,,6.0
287869,2007-09-18,England,New Zealand,New Zealand,,Kingsmead,Durban,England,field,5.0,
287871,2007-09-18,Bangladesh,Sri Lanka,Sri Lanka,,New Wanderers Stadium,Johannesburg,Bangladesh,field,64.0,
287872,2007-09-19,South Africa,New Zealand,South Africa,,Kingsmead,Durban,South Africa,field,,6.0
287873,2007-09-19,England,India,India,,Kingsmead,Durban,India,bat,18.0,
287876,2007-09-20,South Africa,India,India,,Kingsmead,Durban,India,bat,37.0,
287874,2007-09-20,Australia,Sri Lanka,Australia,,Newlands,Cape Town,Australia,field,,10.0
287875,2007-09-20,Bangladesh,Pakistan,Pakistan,,Newlands,Cape Town,Pakistan,field,,4.0
287878,2007-09-22,Australia,India,India,,Kingsmead,Durban,India,bat,15.0,
287877,2007-09-22,New Zealand,Pakistan,Pakistan,,Newlands,Cape Town,New Zealand,bat,,6.0
287879,2007-09-24,India,Pakistan,India,,New Wanderers Stadium,Johannesburg,India,bat,5.0,
297800,2007-10-20,India,Australia,India,,Brabourne Stadium,Mumbai,Australia,bat,,7.0
298795,2007-11-23,South Africa,New Zealand,South Africa,,New Wanderers Stadium,Johannesburg,South Africa,field,,3.0
291343,2007-12-11,Australia,New Zealand,Australia,,Western Australia Cricket Association Ground,Perth,Australia,bat,54.0,
319112,2007-12-16,South Africa,West Indies,West Indies,,St George's Park,Port Elizabeth,West Indies,field,,5.0
298804,2008-01-18,South Africa,West Indies,South Africa,,New Wanderers Stadium,Johannesburg,South Africa,field,,4.0
291356,2008-02-01,Australia,India,Australia,,Melbourne Cricket Ground,,India,bat,,9.0
300435,2008-02-05,New Zealand,England,England,,Eden Park,Auckland,New Zealand,field,32.0,
300436,2008-02-07,New Zealand,England,England,,Jade Stadium,Christchurch,England,bat,50.0,
343764,2008-04-20,Pakistan,Bangladesh,Pakistan,,National Stadium,Karachi,Pakistan,bat,102.0,
296903,2008-06-13,England,New Zealand,England,,Old Trafford,Manchester,England,field,,9.0
319142,2008-06-20,West Indies,Australia,West Indies,,"Kensington Oval, Bridgetown",Barbados,West Indies,field,,7.0
354456,2008-08-03,Bermuda,Scotland,Scotland,,"Civil Service Cricket Club, Stormont",Belfast,Scotland,field,,8.0
361531,2008-08-04,Netherlands,Scotland,Netherlands,,"Civil Service Cricket Club, Stormont",Belfast,Netherlands,field,,5.0
361530,2008-08-04,Ireland,Kenya,Ireland,,"Civil Service Cricket Club, Stormont",Belfast,Ireland,field,,4.0
361656,2008-10-11,Pakistan,Sri Lanka,Pakistan,,Maple Leaf North-West Ground,King City,Pakistan,field,,3.0
361660,2008-10-13,Pakistan,Sri Lanka,Sri Lanka,,Maple Leaf North-West Ground,King City,Sri Lanka,field,,5.0
350347,2008-11-05,South Africa,Bangladesh,South Africa,,New Wanderers Stadium,Johannesburg,Bangladesh,field,12.0,
366708,2008-12-28,New Zealand,West Indies,New Zealand,,Seddon Park,Hamilton,New Zealand,bat,36.0,
351694,2009-01-11,Australia,South Africa,Australia,,Melbourne Cricket Ground,,Australia,bat,52.0,
351695,2009-01-13,Australia,South Africa,Australia,,"Brisbane Cricket Ground, Woolloongabba",Brisbane,South Africa,bat,,6.0
386535,2009-02-10,Sri Lanka,India,India,,R Premadasa Stadium,Colombo,Sri Lanka,bat,,3.0
351696,2009-02-15,Australia,New Zealand,Australia,,Sydney Cricket Ground,,Australia,bat,1.0,
386494,2009-02-25,New Zealand,India,New Zealand,,AMI Stadium,Christchurch,New Zealand,field,,7.0
366622,2009-02-27,New Zealand,India,New Zealand,,Westpac Stadium,Wellington,New Zealand,field,,5.0
352674,2009-03-15,West Indies,England,West Indies,,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,field,,6.0
350475,2009-03-27,South Africa,Australia,South Africa,,New Wanderers Stadium,Johannesburg,South Africa,field,,4.0
350476,2009-03-29,South Africa,Australia,South Africa,,SuperSport Park,Centurion,Australia,field,17.0,
392615,2009-05-07,Australia,Pakistan,Pakistan,,Dubai International Cricket Stadium,,Pakistan,field,,7.0
355991,2009-06-05,England,Netherlands,Netherlands,,Lord's,London,Netherlands,field,,4.0
355992,2009-06-06,New Zealand,Scotland,New Zealand,,Kennington Oval,London,New Zealand,field,,7.0
355994,2009-06-06,Bangladesh,India,India,,Trent Bridge,Nottingham,India,bat,25.0,
355993,2009-06-06,Australia,West Indies,West Indies,,Kennington Oval,London,Australia,bat,,7.0
355995,2009-06-07,Scotland,South Africa,South Africa,,Kennington Oval,London,Scotland,field,130.0,
355996,2009-06-07,England,Pakistan,England,,Kennington Oval,London,Pakistan,field,48.0,
355997,2009-06-08,Bangladesh,Ireland,Ireland,,Trent Bridge,Nottingham,Ireland,field,,6.0
355998,2009-06-08,Australia,Sri Lanka,Sri Lanka,,Trent Bridge,Nottingham,Sri Lanka,field,,6.0
355999,2009-06-09,Netherlands,Pakistan,Pakistan,,Lord's,London,Pakistan,bat,82.0,
356000,2009-06-09,New Zealand,South Africa,South Africa,,Lord's,London,New Zealand,field,1.0,
356001,2009-06-10,India,Ireland,India,,Trent Bridge,Nottingham,India,field,,8.0
356003,2009-06-11,Ireland,New Zealand,New Zealand,,Trent Bridge,Nottingham,Ireland,field,83.0,
356004,2009-06-11,England,South Africa,South Africa,,Trent Bridge,Nottingham,England,bat,,7.0
356006,2009-06-12,India,West Indies,West Indies,,Lord's,London,India,bat,,7.0
356008,2009-06-13,New Zealand,Pakistan,Pakistan,,Kennington Oval,London,New Zealand,bat,,6.0
356007,2009-06-13,South Africa,West Indies,South Africa,,Kennington Oval,London,West Indies,field,20.0,
356010,2009-06-14,England,India,England,,Lord's,London,India,field,3.0,
356009,2009-06-14,Ireland,Sri Lanka,Sri Lanka,,Lord's,London,Sri Lanka,bat,9.0,
356012,2009-06-15,Ireland,Pakistan,Pakistan,,Kennington Oval,London,Pakistan,bat,39.0,
356011,2009-06-15,England,West Indies,West Indies,,Kennington Oval,London,England,bat,,5.0
356013,2009-06-16,New Zealand,Sri Lanka,Sri Lanka,,Trent Bridge,Nottingham,Sri Lanka,bat,48.0,
356014,2009-06-16,India,South Africa,South Africa,,Trent Bridge,Nottingham,South Africa,bat,12.0,
356015,2009-06-18,Pakistan,South Africa,Pakistan,,Trent Bridge,Nottingham,Pakistan,bat,7.0,
356016,2009-06-19,Sri Lanka,West Indies,Sri Lanka,,Kennington Oval,London,West Indies,field,57.0,
356017,2009-06-21,Pakistan,Sri Lanka,Pakistan,,Lord's,London,Sri Lanka,bat,,8.0
401076,2009-08-02,West Indies,Bangladesh,West Indies,,"Warner Park, Basseterre",St Kitts,Bangladesh,bat,,5.0
403375,2009-08-12,Sri Lanka,Pakistan,Pakistan,,R Premadasa Stadium,Colombo,Pakistan,bat,52.0,
403385,2009-09-02,Sri Lanka,New Zealand,New Zealand,,R Premadasa Stadium,Colombo,New Zealand,bat,3.0,
403386,2009-09-04,Sri Lanka,New Zealand,New Zealand,,R Premadasa Stadium,Colombo,New Zealand,bat,22.0,
426723,2009-11-12,New Zealand,Pakistan,Pakistan,,Dubai International Cricket Stadium,,New Zealand,field,49.0,
426724,2009-11-13,New Zealand,Pakistan,Pakistan,,Dubai International Cricket Stadium,,Pakistan,bat,7.0,
387563,2009-11-13,South Africa,England,England,,New Wanderers Stadium,Johannesburg,South Africa,field,1.0,
387564,2009-11-15,South Africa,England,South Africa,,SuperSport Park,Centurion,South Africa,bat,84.0,
430884,2009-12-09,India,Sri Lanka,Sri Lanka,,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,field,29.0,
430885,2009-12-12,India,Sri Lanka,India,,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Sri Lanka,bat,,6.0
423782,2010-02-03,New Zealand,Bangladesh,New Zealand,,Seddon Park,Hamilton,Bangladesh,bat,,10.0
406207,2010-02-05,Australia,Pakistan,Australia,,Melbourne Cricket Ground,,Australia,bat,2.0,
439497,2010-02-09,Canada,Netherlands,Netherlands,,Dubai International Cricket Stadium,,Canada,bat,,6.0
439499,2010-02-10,Canada,Kenya,Kenya,,Dubai International Cricket Stadium,,Kenya,field,,9.0
439505,2010-02-11,Ireland,Scotland,Ireland,,Dubai International Cricket Stadium,,Ireland,bat,37.0,
439510,2010-02-13,Ireland,Netherlands,Ireland,,Dubai International Cricket Stadium,,Ireland,bat,65.0,
440945,2010-02-19,England,Pakistan,England,,Dubai International Cricket Stadium,,Pakistan,bat,,7.0
440946,2010-02-20,England,Pakistan,Pakistan,,Dubai International Cricket Stadium,,Pakistan,field,,4.0
406197,2010-02-21,Australia,West Indies,Australia,,Bellerive Oval,Hobart,Australia,bat,38.0,
406198,2010-02-23,Australia,West Indies,Australia,,Sydney Cricket Ground,,West Indies,bat,,8.0
423787,2010-02-26,New Zealand,Australia,Australia,,Westpac Stadium,Wellington,New Zealand,bat,,6.0
439139,2010-02-28,West Indies,Zimbabwe,Zimbabwe,,"Queen's Park Oval, Port of Spain",Trinidad,Zimbabwe,bat,26.0,
412677,2010-04-30,West Indies,Ireland,West Indies,,Providence Stadium,Guyana,West Indies,bat,70.0,
412678,2010-04-30,New Zealand,Sri Lanka,New Zealand,,Providence Stadium,Guyana,Sri Lanka,bat,,2.0
412680,2010-05-01,Bangladesh,Pakistan,Pakistan,,"Beausejour Stadium, Gros Islet",St Lucia,Pakistan,bat,21.0,
412683,2010-05-02,Australia,Pakistan,Australia,,"Beausejour Stadium, Gros Islet",St Lucia,Australia,bat,34.0,
412682,2010-05-02,India,South Africa,India,,"Beausejour Stadium, Gros Islet",St Lucia,South Africa,field,14.0,
412686,2010-05-03,Sri Lanka,Zimbabwe,Sri Lanka,,Providence Stadium,Guyana,Sri Lanka,bat,14.0,
412685,2010-05-03,West Indies,England,West Indies,,Providence Stadium,Guyana,West Indies,field,,8.0
412684,2010-05-04,New Zealand,Zimbabwe,New Zealand,,Providence Stadium,Guyana,New Zealand,field,7.0,
412688,2010-05-05,Australia,Bangladesh,Australia,,"Kensington Oval, Bridgetown",Barbados,Australia,bat,27.0,
412689,2010-05-06,England,Pakistan,England,,"Kensington Oval, Bridgetown",Barbados,England,field,,6.0
412690,2010-05-06,New Zealand,South Africa,South Africa,,"Kensington Oval, Bridgetown",Barbados,South Africa,bat,13.0,
